action_type,combined_shot_type,minutes_remaining,period,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range
Jump Shot,Jump Shot,2,3,4,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,3,30,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,8,4,19,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,4,22,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Running Jump Shot,Jump Shot,1,4,20,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,4,30,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,3,2,30,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,4,27,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,12,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Layup Shot,Layup,10,3,13,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,8,3,59,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,3,29,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Layup Shot,Layup,3,3,21,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Reverse Dunk Shot,Dunk,2,3,55,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Slam Dunk Shot,Dunk,2,3,38,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,4,55,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Layup Shot,Layup,1,4,8,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,1,4,6,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,10,1,33,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,10,1,4,18,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,1,33,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,2,26,22,1,3PT Field Goal,Center(C),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,8,2,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Slam Dunk Shot,Dunk,4,2,5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,2,2,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Layup Shot,Layup,0,2,47,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Layup Shot,Layup,9,3,32,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,0,3,37,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Running Jump Shot,Jump Shot,0,3,1,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,8,1,17,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Driving Layup Shot,Layup,7,1,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Dunk Shot,Dunk,7,1,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,3,1,11,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Driving Layup Shot,Layup,7,2,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,2,40,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,0,2,10,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,2,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,3,10,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,7,3,24,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,3,1,8,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,5,4,1,13,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,0,4,46,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,11,1,41,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Slam Dunk Shot,Dunk,10,1,59,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,1,36,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,1,54,19,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,2,1,24,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Turnaround Jump Shot,Jump Shot,1,1,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,1,1,25,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,1,47,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,10,2,57,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,9,2,37,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,3,2,50,25,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,3,2,15,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,53,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,2,48,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,11,3,26,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,9,3,20,15,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Slam Dunk Shot,Dunk,7,3,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,3,40,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,3,0,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,3,48,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,3,21,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,4,39,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,4,8,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Turnaround Jump Shot,Jump Shot,6,4,25,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,4,14,9,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,3,4,38,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,11,1,9,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,10,1,17,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Reverse Layup Shot,Layup,9,1,23,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Tip Shot,Tip Shot,9,1,21,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Slam Dunk Shot,Dunk,3,1,2,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,0,1,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,1,21,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,2,50,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Dunk Shot,Dunk,8,2,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Running Hook Shot,Hook Shot,0,2,30,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,2,4,27,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,8,3,38,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,5,3,18,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,4,3,34,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,3,3,51,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,3,40,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,3,3,33,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,2,3,5,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,3,14,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,4,52,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,6,4,34,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,4,4,57,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Dunk Shot,Dunk,3,4,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Running Jump Shot,Jump Shot,1,4,38,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Tip Shot,Tip Shot,1,4,3,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,7,1,43,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Alley Oop Dunk Shot,Dunk,3,1,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,1,25,12,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,0,1,48,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,11,2,16,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,2,19,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Running Jump Shot,Jump Shot,9,2,7,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Layup Shot,Layup,1,2,54,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,0,2,28,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,10,3,23,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,5,3,23,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Dunk Shot,Dunk,0,3,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,4,43,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Layup Shot,Layup,10,4,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Slam Dunk Shot,Dunk,10,4,11,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,5,4,37,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,1,42,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,1,7,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,1,53,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,1,16,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Layup Shot,Layup,7,1,43,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,1,47,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Jump Shot,Jump Shot,1,1,5,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,2,13,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,2,27,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,52,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,19,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,0,47,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot
Jump Shot,Jump Shot,8,3,52,13,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,2,3,55,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,3,1,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,9,4,18,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,5,4,43,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,4,2,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,2,5,5,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,2,5,7,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,0,5,24,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,1,5,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,9,1,7,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Driving Layup Shot,Layup,8,1,15,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,4,1,22,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Alley Oop Dunk Shot,Dunk,4,1,9,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,2,19,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,6,2,51,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,2,11,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,0,2,21,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,3,17,29,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,8,3,35,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,3,24,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,5,3,1,18,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,3,3,21,23,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Jump Shot,Jump Shot,0,3,47,22,1,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.
Driving Layup Shot,Layup,11,4,10,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Reverse Dunk Shot,Dunk,7,4,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,1,4,18,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,0,4,46,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,9,1,3,24,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,6,1,10,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Slam Dunk Shot,Dunk,3,1,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,0,1,13,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Slam Dunk Shot,Dunk,7,2,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,2,3,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,2,44,23,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Slam Dunk Shot,Dunk,11,3,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,10,3,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,9,3,45,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,3,22,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,6,3,43,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Running Jump Shot,Jump Shot,4,3,55,11,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Driving Layup Shot,Layup,1,3,34,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,11,4,13,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,10,4,52,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Driving Layup Shot,Layup,10,4,12,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,10,4,8,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Running Jump Shot,Jump Shot,2,4,20,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,1,4,37,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,0,4,31,21,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,10,1,5,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,8,1,0,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,4,1,58,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.
Driving Layup Shot,Layup,2,1,36,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,2,1,20,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Slam Dunk Shot,Dunk,2,1,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,1,1,43,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Alley Oop Dunk Shot,Dunk,10,2,17,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,9,2,16,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Alley Oop Dunk Shot,Dunk,3,2,34,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,2,30,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Driving Dunk Shot,Dunk,9,3,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,9,3,12,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,3,31,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Dunk Shot,Dunk,6,3,9,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Turnaround Jump Shot,Jump Shot,5,3,20,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.
Layup Shot,Layup,2,3,6,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Driving Layup Shot,Layup,2,3,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,1,3,26,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,10,1,33,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Running Jump Shot,Jump Shot,7,1,33,10,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Reverse Layup Shot,Layup,5,1,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,3,1,56,11,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,1,1,4,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,10,3,53,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Dunk Shot,Dunk,9,3,45,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,3,24,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Layup Shot,Layup,5,3,58,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,2,3,42,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.
Jump Shot,Jump Shot,0,3,21,17,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,11,4,38,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Running Jump Shot,Jump Shot,9,4,50,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Turnaround Jump Shot,Jump Shot,9,4,36,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,7,4,30,22,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,5,4,24,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,10,1,25,11,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.
Driving Layup Shot,Layup,7,1,14,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,6,1,17,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
Jump Shot,Jump Shot,5,1,44,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,7,2,18,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
Running Jump Shot,Jump Shot,6,2,35,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Layup Shot,Layup,2,2,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Layup Shot,Layup,1,2,39,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
Jump Shot,Jump Shot,0,2,36,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Jump Shot,Jump Shot,11,3,24,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
Jump Shot,Jump Shot,7,3,20,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Turnaround Jump Shot,Jump Shot,4,3,53,9,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.
Jump Shot,Jump Shot,3,3,42,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.
Alley Oop Layup shot,Layup,2,3,15,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
Driving Layup Shot,Layup,0,3,54,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
